accession,prop_value
NCT00071084:I.1001,"Medical diagnosis of CTCL, and positivity for the CD4 receptor. - Late stage CTCL"
NCT00071084:I.1002,"Have received at least one prior anti-cancer therapy with inadequate effect"
NCT00071084:I.1003,"WHO performance status 0,1 or 2 - Male or female, age 18 or older. - Signed informed consent."
NCT00071084:I.2001,"Certain rare types of CTCL."
NCT00071084:I.2002,"Previous treatment with other anti-CD4 medications. - More than two previous treatments with systemic chemotherapy. - Certain anti-psoriasis or anti-cancer therapies within the last 4 weeks before entering this trial. - Some types of steroid treatments less than two weeks before entering the trial"
NCT00071084:I.2003,"Prolonged exposure to sunlight or UV light during the trial. - Other cancer diseases, except certain skin cancers or cervix cancer. - Chronic infectious disease requiring medication. - Certain serious medical conditions, including kidney or liver disease, some psychiatric illnesses, and stomach, lung, heart, hormonal, nerve or blood diseases. - Certain laboratory values which are too high or too low. - HIV positivity"
NCT00071084:I.2004,"Pregnant or breast-feeding women. - Women of childbearing age who are unable or unwilling to use an IUD or hormonal birth control during the whole trial"
NCT00071084:I.2005,"If you are participating in another trial with a different new drug 4 weeks before you enter this trial"
NCT00071084:I.3001,Diagnosis
NCT00071084:I.3002,"Lymphoma, T-Cell, Cutaneous"
NCT00071084:I.3003,"Diagnostic Neoplasm Staging"
NCT00071084:I.3004,"Therapeutic procedure"
NCT00071084:I.3005,"WHO performance status finding"
NCT00071084:I.3006,Age
NCT00071084:I.3007,Medication
NCT00071084:I.3008,Chemotherapy
NCT00071084:I.3009,"Exposure to sunlight"
NCT00071084:I.3010,Infection
NCT00071084:I.3011,"HIV negative"
NCT00071084:I.3012,pregnant
NCT00071084:I.3013,"Breast feeding"
NCT00071084:I.3014,Contraception
NCT00071084:I.3015,Enrollment
NCT00151099:I.1001,"18 Years to 40 Years"
NCT00151099:I.1002,Female
NCT00151099:I.1003,"Patients with surgery for dysgnathia"
NCT00151099:I.2001,"Diabetes mellitus"
NCT00151112:I.1001,"18 Years and older"
NCT00151112:I.1002,"Single shot axillary block"
NCT00151112:I.2001,"Lateral position not possible"
NCT00151112:I.3001,Age
NCT00151112:I.3002,"Anesthesia procedures"
NCT00153062:I.1001,"50 Years and older"
NCT00153062:I.1002,"Male or female subjects 55 year or older who have suffered an ischemic stroke within the past 90 days and who meet all other inclusion criteria. Include also patients of ages 50 - 54 years and/or 90 to 120 days after the qualifying stroke provided the patient has at least two of the following additional risk factors: Diabetes mellitus,Hypertension (systolic blood pressure (BP)>=140 millimeters of Mercury (mmHg) or diastolic BP>=90mmHg), Smoker at time of qualifying stroke,Obesity (Body mass index (BMI)>30, BMI=weight in kilograms (kg)/[height in meters (m)]2), Previous vascular disease (stroke, MI, or peripheral arterial disease prior to qualifying stroke), End-organ-damage (retinopathy, left ventricular hypertrophy (LVH), or microalbuminuria),Hyperlipidemia"
NCT00153062:I.2001,"hemorrhagic stroke (must be ruled out by imaging)"
NCT00153062:I.2002,"unable to give informed consent"
NCT00153062:I.2003,"known brain tumor, severe renal or hepatic insufficiency, current active peptic ulcer disease, severe coronary artery disease including unstable angina pectoris or an MI within the previous 3 months,or history of a hemostatic disorder or systemic bleeding"
NCT00153062:I.2004,"hyperkalemia, uncorrected volume or sodium depletion"
NCT00153062:I.2005,"pre-stroke history of dementia, modified Rankin score greater than 4"
NCT00153062:I.2006,"qualifying stroke induced by surgical or cardiovascular procedure"
NCT00153062:I.2007,"uncontrolled hypertension at entry above 180/110 mmHg (goal blood pressures are lower)"
NCT00153062:I.2008,"Systolic blood pressure (SBP) 120 mmHg or less for hospitalized patients. Currently taking an Angiotensin II receptor blocker (ARB) and not able or willing to switch to alternative. Required or planned continuing treatment with antithrombotics or anticoagulants including heparin or warfarin or non-study platelet inhibitors"
NCT00153062:I.2009,"syndrome of asthma, rhinitis and nasal polyps"
NCT00153062:I.2010,"scheduled for major surgery, carotid endarterectomy, or carotid angioplasty (4 weeks post surgery is allowed)"
NCT00153062:I.2011,"unlikely to be released from hospital following the qualifying stroke or presence of a severe disability likely to lead to being bedridden or demented or a non-vascular disease or condition which makes it unlikely that the patient will survive to the end of the trial"
NCT00153062:I.2012,"history of thrombocytopenia or neutropenia"
NCT00153062:I.3001,Age
NCT00153062:I.3002,"Ischemic stroke"
NCT00153062:I.3003,"Diabetes mellitus"
NCT00153062:I.3004,"Hypertensive disease"
NCT00153062:I.3005,"Smoking Status"
NCT00153062:I.3006,Obesity
NCT00153062:I.3007,"Body mass index"
NCT00153062:I.3008,Diagnosis
NCT00153062:I.3009,Stroke
NCT00153062:I.3010,"Acute myocardial infarction"
NCT00153062:I.3011,"Peripheral Arterial Diseases"
NCT00153062:I.3012,Retinopathy
NCT00153062:I.3013,"Left Ventricular Hypertrophy"
NCT00153062:I.3014,Microalbuminuria
NCT00153062:I.3015,Hyperlipidemia
NCT00153062:I.3016,"Brain hemorrhage"
NCT00153062:I.3017,"Brain Neoplasms"
NCT00153062:I.3018,"Renal Insufficiency"
NCT00153062:I.3019,"Hepatic Insufficiency"
NCT00153062:I.3020,"Peptic Ulcer"
NCT00153062:I.3021,"Coronary artery disease (CAD)"
NCT00153062:I.3022,"Bleeding tendency"
NCT00153062:I.3023,hyperkalemia
NCT00153062:I.3024,Dementia
NCT00153062:I.3025,"Rankin score"
NCT00153062:I.3026,"Complication of surgical and medical care, unspecified"
NCT00153062:I.3027,"Systolic Blood Pressure"
NCT00153062:I.3028,Medication
NCT00153062:I.3029,"Angiotensin II receptor antagonist"
NCT00153062:I.3030,"Anticoagulant treatment"
NCT00153062:I.3031,"Antithrombic Drugs"
NCT00153062:I.3032,Heparin
NCT00153062:I.3033,Warfarin
NCT00153062:I.3034,"Therapeutic procedure"
NCT00153062:I.3035,Asthma
NCT00153062:I.3036,"Life expectancy"
NCT00153062:I.3037,"Platelet count - finding"
NCT00153062:I.3038,"White Blood Cells"
NCT00153062:I.3039,Neutropenia
NCT00153062:I.3040,Thrombocytopenia
NCT00156338:I.1001,"18 Years to 90 Years"
NCT00156338:I.1002,"epidural anesthesia"
NCT00156338:I.1003,"ASA I-III"
NCT00156338:I.2001,"metastasized cancer"
NCT00156338:I.2002,pregnancy
NCT00157157:I.1001,"The subject has severe or moderately severe hemophilia A as defined by a baseline factor VIII level<= 2% of normal, as documented at screening"
NCT00157157:I.1002,"The subject is<6 years of age"
NCT00157157:I.1003,"The subject's legally authorized representative has provided written informed consent"
NCT00157157:I.2001,"The subject has a history of exposure to factor VIII other than rAHF PFM or more than 3 infusions of commercially available rAHF PFM (i.e., ADVATE) within 28 days prior to screening, as determined by the subject's medical history. Any infusion of factor VIII replacement products prior to the 28-day period excludes the subject from participation"
NCT00157157:I.2002,"The subject has received more than 3 infusions of rAHF PFM (commercially available and/or study product) between screening and prior to the initial recovery infusion"
NCT00157157:I.2003,"The subject has a detectable inhibitor to factor VIII, as measured in the screening sample by the Nijmegen assay in the central laboratory"
NCT00157157:I.2004,"The subject has a history of inhibitor to factor VIII at any time prior to screening"
NCT00157157:I.2005,"The subject has a known hypersensitivity to rAHF PFM"
NCT00157157:I.2006,"The subject has any 1 of the following laboratory abnormalities at the time of screening:
1) Platelet count<100,000/mm^3
2) Hemoglobin concentration<10 g/dL (100 g/L)
3) Serum creatinine>1.5 times the upper limit of normal (ULN) for age
4) Total bilirubin>2 times the ULN for age"
NCT00157157:I.2007,"The subject has an inherited or acquired hemostatic defect other than hemophilia A (e.g., qualitative platelet defect or von Willebrand's disease)"
NCT00157157:I.2008,"The subject is known to be seropositive for human immunodeficiency virus (HIV), hepatitis C virus (HCV), or hepatitis B virus (HBV), as determined by the subject's medical history"
NCT00157157:I.2009,"At the time of enrollment, the subject has a clinically significant chronic disease other than hemophilia A"
NCT00157157:I.2010,"The subject is currently participating in another investigational drug study, or has participated in any clinical study involving an investigational drug within 120 days of the screening visit"
NCT00157157:I.2011,"The subject (or the subject's legally authorized representative) is identified by the investigator as being unable or unwilling to cooperate with study procedures"
NCT00157157:I.2012,"The subject has received any blood product, including packed red blood cells (RBC), platelets, plasma, or cryoprecipitate"
NCT00157157:I.3001,Diagnosis
NCT00157157:I.3002,"Hemophilia A"
NCT00157157:I.3003,"Factor VIII Measurement"
NCT00157157:I.3004,Age
NCT00157157:I.3005,"Informed Consent"
NCT00157157:I.3006,Medication
NCT00157157:I.3007,"Factor VIII"
NCT00157157:I.3008,"Factor VIII inhibitor screening test"
NCT00157157:I.3009,Hypersensitivity
NCT00157157:I.3010,"Platelet count - finding"
NCT00157157:I.3011,Hemoglobin
NCT00157157:I.3012,Creatinine
NCT00157157:I.3013,Bilirubin
NCT00157157:I.3014,"Coagulation Factor Deficiency"
NCT00157157:I.3015,"HIV negative"
NCT00157157:I.3016,"Hepatitis B, C"
NCT00157157:I.3017,Enrollment
NCT00157157:I.3018,Compliance
NCT00157157:I.3019,"Blood product"
NCT00160524:I.1001,"18 Years and older"
NCT00160524:I.1002,"previously completed studies CDP870-031 or CDP870-032"
NCT00160706:I.1001,"18 Years and older"
NCT00160706:I.1002,"Previously withdrawn from study CDP870-031 or CDP870-032 due to an exacerbation of Crohn's disease"
NCT00160706:I.2001,Age
NCT00160706:I.2002,Enrollment
NCT00160706:I.2003,Diagnosis
NCT00160706:I.2004,"Crohn's Disease"
NCT00165828:I.1001,"Adult aged between 18 years and 74 years"
NCT00165828:I.1002,"Focal epileptic seizures with or without secondary generalization"
NCT00165828:I.1003,"Present treatment with one or two antiepileptic drugs (constant dosage during 8 weeks baseline phase prior to initiation of treatment with zonisamide). Stimulation of the vagus nerve is permitted and will not be counted as antiepileptic drug."
NCT00165828:I.1004,"For women of childbearing potential (postmenopausal for more than 1 year): possible pregnancy during the study can be excluded (by hysterectomy, sterilization or simultaneous application of two recognized methods of contraception (no oral contraceptives only)"
NCT00165828:I.1005,"For male patients with partners of childbearing potential: a safe method of contraception is practiced during their study participation"
NCT00165828:I.1006,"Written consent to participate in the study"
NCT00165828:I.2001,"At least 6 focal or clonicotonic seizures documented completely in a seizure diary or the patient chart during the 8 prospective or retrospective weeks baseline phase."
NCT00165828:I.3001,"Epileptic state during the past year"
NCT00165828:I.3002,"Non-epileptic fits"
NCT00165828:I.3003,"Generalized epilepsy"
NCT00165828:I.3004,"More than 4 weeks of seizure freedom during baseline phase"
NCT00165828:I.3005,"Concomitant progressive CNS disease including progressive myoclonus epilepsy"
NCT00165828:I.3006,"Concomitant treatment with vigabatrine and / or topiramate"
NCT00165828:I.3007,"Hepatic and/or renal insufficiency (creatine>2mg% or GPT>2 times ULN)"
NCT00165828:I.3008,"Body weight<= 40 kg"
NCT00165828:I.3009,"(History of) kidney stones; erythrocyturia, family history (in parents, children, brothers and sisters or grandparents) of kidney stones"
NCT00165828:I.3010,"(History of) drug and/or alcohol dependence"
NCT00165828:I.3011,"Active psychosis"
NCT00165828:I.3012,"Suicide attempt during the past 3 years"
NCT00165828:I.3013,"Pre-treatment with zonisamide"
NCT00165828:I.3014,"Known hypersensitivity to sulfonamides"
NCT00165828:I.3015,"Concomitant treatment with neuroleptic drugs"
NCT00165828:I.3016,"pregnant or breast feeding woman"
NCT00165828:I.3017,"participation in another therapy study within 3 months prior to or during this study"
NCT00165828:I.3018,"blood donation planned during or within 4 weeks after the participation in this study"
NCT00165828:I.3019,"elective surgery planned during the participation in this study"
NCT00165828:I.3020,"patient is not willing or not capable to meet the study demands"
NCT00165828:I.3021,"patient does not agree to the forwarding of his/her pseudonymous data"
NCT00165828:I.3022,"patient without legal competence"
NCT00165828:I.4001,"More than 4 consecutive weeks of freedom from seizure during baseline phase"
NCT00168051:I.1001,"18 Years to 64 Years"
NCT00168051:I.1002,Male
NCT00168051:I.1003,"Severe hemophilia A"
NCT00168051:I.1004,"Previously treated patients with at least 150 exposure days to any Factor VIII product"
NCT00168051:I.2001,"Hypersensitivity to any recombinant Factor VIII product"
NCT00168051:I.2002,"History of or current Factor VIII inhibitor"
NCT00168051:I.2003,"Bleeding episode or other reason requiring Factor VIII treatment within 3 days of study"
NCT00175903:I.1001,"16 Years and older"
NCT00175903:I.1002,"Diagnosis of epilepsy (all types of seizures) was made during the past year"
NCT00175903:I.1003,"Subjects must have had at least two unprovoked seizures in the past 2 years with at least one during the last 6 months"
NCT00175903:I.1004,"Female subjects without childbearing potential are eligible. Female subjects with childbearing potential are eligible if they use a medically accepted contraceptive method."
NCT00175903:I.2001,"Subjects previously allocated to a trial treatment (CBZ, VPA and LEV) used in this trial"
NCT00175903:I.2002,"Participation in another clinical trial with an investigational drug or device within 12 weeks of the selection visit (V1), or at any time during this trial"
NCT00175903:I.2003,"Pregnant or lactating women"
NCT00175903:I.2004,"Presence of known pseudoseizures within the last year"
NCT00175903:I.2005,"Uncountable seizures (clusters) or history of convulsive status epilepticus"
NCT00175903:I.2006,"Any disorder or condition that may interfere with the absorption, distribution, metabolisation or excretion of drugs"
NCT00175903:I.2007,"History of suicide attempt, current suicidal ideation, or other serious psychiatric disorders requiring or having required hospitalization or medication within the previous five years"
NCT00175903:I.2008,"Presence of progressive cerebral disease, any other progressively degenerative neurological disease, or any cerebral tumors"
NCT00175903:I.2009,"Presence of a terminal illness or any medical condition that might interfere with the subject's trial participation"
NCT00175903:I.3001,Age
NCT00175903:I.3002,Diagnosis
NCT00175903:I.3003,Epilepsia
NCT00175903:I.3004,Convulsion
NCT00175903:I.3005,pregnant
NCT00175903:I.3006,"Breast feeding, Nursing"
NCT00175903:I.3007,Contraception
NCT00175903:I.3008,Enrollment
NCT00175903:I.3009,"Pseudoseizure (Hysterical fits, factitious seizures)"
NCT00175903:I.3010,"Epileptic state"
NCT00175903:I.3011,Malabsorption
NCT00175903:I.3012,"Renal Insufficiency"
NCT00175903:I.3013,"Hepatic Insufficiency"
NCT00175903:I.3014,"Attempted Suicide"
NCT00175903:I.3015,"Psychosis (Psychotic disorder)"
NCT00175903:I.3016,"Brain Neoplasms"
NCT00175903:I.3017,"CNS disorder, Central Nervous System Disease"
NCT00175903:I.3018,"Degenerative Neurologic Disease"
NCT00175903:I.3019,"end stage disease"
NCT00185211:I.1001,"18 Years to 48 Years"
NCT00185211:I.1002,"Patients who have reached scheduled end of study in BENEFIT, either by developing CDMS or by completing 24 months"
NCT00185211:I.2001,"No participation in the initial BENEFIT study"
NCT00185211:I.3001,Age
NCT00185211:I.3002,Enrollment
NCT00185211:I.3003,"Study End Date"
NCT00185250:I.1001,"18 Years to 75 Years"
NCT00185250:I.1002,"Unexplained heart with evidence of Adeno-, Entero- and/or Parvoviruses which must be identified directly in the heart tissue"
NCT00185250:I.1003,"Being in a chronic (at least 6 month after the onset of clinical symptoms) and stable phase of the disease"
NCT00185250:I.1004,"Impaired cardiac function"
NCT00185250:I.2001,"Severe (decompensated) or acute heart failure"
NCT00185250:I.2002,"Any other disease which could better explain the patient's clinical symptoms"
NCT00185250:I.2003,"Any other severe and/or malignant disease"
NCT00185250:I.2004,"Suffering from convulsions, depression or suicidal ideas judged by a physician"
NCT00185250:I.2005,"Serious viral or bacterial infections during the last weeks"
NCT00185250:I.2006,"Pregnancy or lactation"
NCT00185250:I.3001,Age
NCT00185250:I.3002,Diagnosis
NCT00185250:I.3003,"Cardiac disorder"
NCT00185250:I.3004,"Heart failure"
NCT00185250:I.3005,Cardiomyopathy
NCT00185250:I.3006,"Viral cardiomyopathy"
NCT00185250:I.3007,Adenovirus
NCT00185250:I.3008,Enterovirus
NCT00185250:I.3009,Parvovirus
NCT00185250:I.3010,"Chronic disease"
NCT00185250:I.3011,"Cardiac rate"
NCT00185250:I.3012,"Cardiac ejection fraction"
NCT00185250:I.3013,"Cardiac Arrhythmia"
NCT00185250:I.3014,"Malignant Neoplasms"
NCT00185250:I.3015,disorder
NCT00185250:I.3017,Convulsion
NCT00185250:I.3018,Depression
NCT00185250:I.3019,Infection
NCT00185250:I.3020,"Severe (Qualitative Concept)"
NCT00185250:I.3021,pregnant
NCT00185250:I.3022,"Breast feeding, Nursing"
NCT00185393:I.1001,"18 Years and older"
NCT00185393:I.1002,"Non Hodgkin Lymphoma stage III or IV at timepoint of diagnosis"
NCT00185393:I.1003,"Patients who have achieved a remission after first line chemotherapy"
NCT00185393:I.1004,"No less than 6 weeks and no more than 12 weeks since last dose of chemotherapy"
NCT00185393:I.1005,"written informed consent"
NCT00185393:I.2001,"Any other anticancer treatment for NHL except the preceding first line chemotherapy"
NCT00185393:I.2002,"Prior radiation therapy"
NCT00185393:I.2003,"Patients who have not recovered from the toxic effects of the first line chemotherapy"
NCT00185393:I.2004,"Any other cancer or history of cancer less than 10 years ago"
NCT00185393:I.2005,"Patients with known HIV positivity"
NCT00185393:I.2006,"patients with pleural effusion or ascites"
NCT00185393:I.2007,"female patients who are pregnant or breast feeding (women of childbearing potential must have a negative serum pregnancy test at study entry)"
NCT00185393:I.2008,"Adults not employing an effective method of birth control during study treatment and 12 months thereafter"
NCT00185393:I.2009,"Patients unable or unwilling to comply with protocol"
NCT00185393:I.3001,Age
NCT00185393:I.3002,Diagnosis
NCT00185393:I.3003,"Lymphoma, Non-Hodgkin (Non-Hodgkins lymphoma)"
NCT00185393:I.3004,"Diagnostic Neoplasm Staging"
NCT00185393:I.3005,"Disease remission"
NCT00185393:I.3006,Medication
NCT00185393:I.3007,Chemotherapy
NCT00185393:I.3008,"Informed Consent"
NCT00185393:I.3009,"First-Line Treatment (primary treatment)"
NCT00185393:I.3010,Radiotherapy
NCT00185393:I.3011,"Recovery - healing process"
NCT00185393:I.3012,"Malignant Neoplasms"
NCT00185393:I.3013,"HIV negative"
NCT00185393:I.3014,"Pleural effusion disorder"
NCT00185393:I.3015,Ascites
NCT00185393:I.3016,pregnant
NCT00185393:I.3017,"Breast feeding, Nursing"
NCT00185393:I.3018,"Serum pregnancy test (B-HCG)"
NCT00185393:I.3019,Contraception
NCT00185393:I.3020,Compliance
NCT00190047:I.1001,"18 Years to 85 Years"
NCT00190047:I.1002,"Patients with ischemic stroke, (that is, stroke that results from a blockage of blood flow to part of the brain), which is accompanied by language dysfunction (e.g. inability to understand speech), visual field defect or inattention to one side of the body or the space around the patient"
NCT00190047:I.1003,"Patients in whom the study treatment can start no less than 1 and not more than 9 hours after the stroke's onset"
NCT00190047:I.1004,"Patients with moderate-severe degree of neurological deficit in the 9 hours after stroke onset (defined as NIHSS score of 7 to 20)"
NCT00190047:I.1005,"Patients that can understand the requirements of the study and are willing to provide written informed consent (If the subject is incapacitated, informed consent will be sought from a legally acceptable representative.)"
NCT00190047:I.2001,"Patients with a brain (intracerebral or subarachnoid) hemorrhage per screening computed tomography scan"
NCT00190047:I.2002,"candidates for thrombolytic therapy for the current stroke"
NCT00190047:I.2003,"patients having a mental impairment that renders them incapable to understand the study's requirements"
NCT00190047:I.2004,"patients with other diseases that in the investigator's opinion may lead, independently of the current stroke, to further deterioration in the subject's neurological status during the trial period, or may confuse the evaluation of the present stroke"
NCT00190047:I.2005,"Patients likely to undergo a procedure involving cardiopulmonary bypass during the study period"
NCT00190047:I.2006,"Patients with medical conditions that may not enable them to complete the study (e.g life-threatening diseases,)"
NCT00190047:I.2007,"Patients whose condition improves already during the screening period"
NCT00190047:I.2008,"Patients who already have functional limitations before the present study (retrospective Modified Rankin Scale score of>3)"
NCT00190047:I.2009,"Patients who suffered a stroke within the past 90 days that seems to have been in the same brain region as the current acute stroke"
NCT00190047:I.2010,"Patients with severe hypertension (systolic BP>210 mm Hg or diastolic BP>120 mm Hg) or hypotension (systolic BP<90 mm Hg),"
NCT00190047:I.2011,"Patients with significant history of renal or liver disease(s) (serum creatinine of>2.0 mg/dL, alanine aminotransferase, aspartate aminotransferase, or gamma-glutamyl transferase values of>threefold the upper normal limit)"
NCT00190047:I.2012,"Patients with a platelet count of<100,000/mm3"
NCT00190047:I.2013,"Female patients of childbearing potential who are not using adequate and effective birth control measures or who are pregnant or lactating (the screening evaluation of female subjects of childbearing potential will include a serum pregnancy test.)"
NCT00190047:I.2014,"Patients who are users of addictive agents, or alcoholics"
NCT00190047:I.2015,"Patients who have received an investigational drug within the 90 days before the present stroke or such that are past recipients of DP-b99"
NCT00190047:I.3001,Age
NCT00190047:I.3002,Diagnosis
NCT00190047:I.3003,"Ischemic stroke"
NCT00190047:I.3004,"Disorder of language"
NCT00190047:I.3005,"Visual field defect"
NCT00190047:I.3006,Hemi-inattention
NCT00190047:I.3007,Onset
NCT00190047:I.3008,NIH-SS
NCT00190047:I.3009,"Neurologic deficit"
NCT00190047:I.3010,"Informed Consent"
NCT00190047:I.3011,Compliance
NCT00190047:I.3012,"Brain hemorrhage"
NCT00190047:I.3013,"Therapeutic procedure"
NCT00190047:I.3014,Medication
NCT00190047:I.3015,"Mental impairment disorders"
NCT00190047:I.3016,"Cardiopulmonary bypass operation"
NCT00190047:I.3017,"Life expectancy"
NCT00190047:I.3018,"Rankin score"
NCT00190047:I.3019,"Hypertensive disease"
NCT00190047:I.3020,Hypotension
NCT00190047:I.3021,Creatinine
NCT00190047:I.3022,"GPT (Serum)"
NCT00190047:I.3023,"GOT (Serum)"
NCT00190047:I.3024,"Gamma Glutamyl Transpeptidase Measurement"
NCT00190047:I.3025,"Platelet count - finding"
NCT00190047:I.3026,pregnant
NCT00190047:I.3027,"Breast feeding, Nursing"
NCT00190047:I.3028,Contraception
NCT00190047:I.3029,"Alcohol abuse"
NCT00190047:I.3030,"Drug abuse"
NCT00190047:I.3031,Enrollment
NCT00195507:I.1001,"18 Years and older"
NCT00195507:I.1002,"Stable, active plaque psoriasis"
NCT00195507:I.1003,"Failure to respond to the following systemic therapies: Methotrexate, Cyclosporine, PUVA or Fumarate"
NCT00195507:I.2001,"Evidence of skin conditions other than psoriasis that would interfere with evaluations of the effect of the study"
NCT00195507:I.2002,"Systemic psoriasis therapy within 28 days prior"
NCT00195507:I.3001,Age
NCT00195507:I.3002,Diagnosis
NCT00195507:I.3003,Psoriasis
NCT00195507:I.3004,"Nummular psoriasis (Plaque psoriasis, Discoid psoriasis)"
NCT00195507:I.3005,Medication
NCT00195507:I.3006,Methotrexate
NCT00195507:I.3007,Ciclosporin
NCT00195507:I.3008,PUVA
